"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1878","Add on - INFO-007 Privacy notice page opens","firefox","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-007-privacy-notice-page-opens.spec.js","",""
"","1795","Add on - INFO-008 Conditions of use page opens","firefox","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-008-conditions-of-use-page-opens.spec.js","",""
"","2657","USER-005 Footer exposes my account link","chromium","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-005-footer-exposes-my-account-link.spec.js","",""
"","1816","ADDR-011 Shopping cart shows shipping step","firefox","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-011-shopping-cart-shows-shipping-step.spec.js","",""
"","2034","PROD-007 Digital downloads category opens","firefox","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-007-digital-downloads-category-opens.spec.js","",""
"","2728","PROD-012 Smartphone product details are visible","chromium","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-012-smartphone-product-details-are-visible.spec.js","",""
"","1816","Add on - PAY-004 Cart page shows payment step","firefox","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-004-cart-page-shows-payment-step.spec.js","",""
"","2137","ADDR-003 Guest addresses page redirects to login","chromium","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-003-guest-addresses-page-redirects-to-login.spec.js","",""
"","2011","Add on - INFO-013 Footer customer service links are visible","firefox","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-013-footer-customer-service-links-are-visible.spec.js","",""
"","2792","Add on - PAY-003 Cart page is available before checkout","webkit","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-003-cart-page-is-available-before-checkout.spec.js","",""
"","3029","USER-001 My account page requires login for guest","webkit","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-001-my-account-page-requires-login-for-guest.spec.js","",""
"","2138","PROD-014 Category page has sort and page size controls","firefox","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-014-category-page-has-sort-and-page-size-controls.spec.js","",""
"","1933","CART-004 Cart footer link is visible","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-004-cart-footer-link-is-visible.spec.js","",""
"","2797","AUTH-002 Login page shows email and password fields","webkit","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-002-login-page-shows-email-and-password-fields.spec.js","",""
"","2237","Add on - PAY-013 Book product shows price information","chromium","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-013-book-product-shows-price-information.spec.js","",""
"","2172","AUTH-013 Protected account page redirects guest user to login","chromium","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-013-protected-account-page-redirects-guest-user-to-login.spec.js","",""
"","2083","CART-003 Header shopping cart link is visible","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-003-header-shopping-cart-link-is-visible.spec.js","",""
"","2506","ADDR-008 Smartphone product shows in stock availability","firefox","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-008-smartphone-product-shows-in-stock-availability.spec.js","",""
"","1872","Add on - INFO-004 Contact us page has enquiry textarea","firefox","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-004-contact-us-page-has-enquiry-textarea.spec.js","",""
"","1866","ADDR-014 Cart page has checkout progress section","firefox","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-014-cart-page-has-checkout-progress-section.spec.js","",""
"","1774","ADDR-001 Shipping returns page opens","firefox","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-001-shipping-returns-page-opens.spec.js","",""
"","3193","PROD-008 Jewelry category opens with product cards","webkit","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-008-jewelry-category-opens-with-product-cards.spec.js","",""
"","2063","WISH-010 Product page exposes email a friend action","chromium","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-010-product-page-exposes-email-a-friend-action.spec.js","",""
"","2794","PROD-011 Laptop product details are visible","chromium","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-011-laptop-product-details-are-visible.spec.js","",""
"","2667","Add on - INFO-014 Newsletter subscription controls are visible","chromium","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-014-newsletter-subscription-controls-are-visible.spec.js","",""
"","2256","PROD-008 Jewelry category opens with product cards","chromium","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-008-jewelry-category-opens-with-product-cards.spec.js","",""
"","3164","Add on - PAY-012 Gift card product shows fixed price","webkit","2026-06-05","passed","2026-06-05","Add on - Checkout and Payment Module","add-on-checkout-payment/add-on-pay-012-gift-card-product-shows-fixed-price.spec.js","",""
"","2159","WISH-009 New products page opens","chromium","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-009-new-products-page-opens.spec.js","",""
"","2205","PROD-013 Book product page shows price and shipping text","chromium","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-013-book-product-page-shows-price-and-shipping-text.spec.js","",""
"","3232","WISH-010 Product page exposes email a friend action","webkit","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-010-product-page-exposes-email-a-friend-action.spec.js","",""
